Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
Ba1,a,2,1,,0,0,0,,,
Ba2,d,6,1,,0.25,0.5,0,,,
Ge1,c,6,0.299,0.016,0,0.5,0.25,,,
Ga1,c,6,0.345,0.016,0,0.5,0.25,,,
Ge2,i,16,0.749,0.01,0.18454,0.18454,0.18454,1.3e-05,1.3e-05,1.3e-05
Ga2,i,16,0.164,0.01,0.18454,0.18454,0.18454,1.3e-05,1.3e-05,1.3e-05
Ge3,k,24,0.676,0.005,0,0.308158,0.117598,,1.8e-05,1.8e-05
Ga3,k,24,0.254,0.005,0,0.308158,0.117598,,1.8e-05,1.8e-05
Al1,c,6,0.356,,0,0.5,0.25,,,
Al2,i,16,0.087,,0.18454,0.18454,0.18454,1.3e-05,1.3e-05,1.3e-05
Al3,k,24,0.07,,0,0.308158,0.117598,,1.8e-05,1.8e-05
