Atom1,Atom2,Distance,DeltaX,DeltaY,DeltaZ
Rb1,Rb1_1_-1_-1_-1,17.2491475824169,1,1,1
Rb2,Rb1_1_-1_-1_-1,21.8470288352902,1.25,1.5,1
Si1,Rb1_1_-1_-1_-1,21.8470288352902,1.25,1,1.5
Si21,Rb1_1_-1_-1_-1,20.5466096446788,1.1911,1.1912,1.1912
Si22,Rb1_1_-1_-1_-1,20.5466096446788,1.1911,1.1912,1.1912
Si31,Rb1_1_-1_-1_-1,19.7840867105414,1,1.2972,1.1242
Si32,Rb1_1_-1_-1_-1,19.7840867105414,1,1.2972,1.1242
Rb1,Rb1_2_-1_-1_-1,8.62457379120847,0.5,0.5,0.5
Rb2,Rb1_2_-1_-1_-1,13.4074448203228,0.75,1,0.5
Si1,Rb1_2_-1_-1_-1,13.4074448203228,0.75,0.5,1
Si21,Rb1_2_-1_-1_-1,11.92203586511,0.6911,0.6912,0.6912
Si22,Rb1_2_-1_-1_-1,11.92203586511,0.6911,0.6912,0.6912
Si31,Rb1_2_-1_-1_-1,11.2457452411569,0.5,0.7972,0.6242
Si32,Rb1_2_-1_-1_-1,11.2457452411569,0.5,0.7972,0.6242
Rb1,Rb2_1_-1_-1_-1,13.4074448203228,0.75,0.5,1
Rb2,Rb2_1_-1_-1_-1,17.2491475824169,1,1,1
Si1,Rb2_1_-1_-1_-1,18.6312087917022,1,0.5,1.5
Si21,Rb2_1_-1_-1_-1,16.6117563020859,0.9411,0.6912,1.1912
Si22,Rb2_1_-1_-1_-1,16.6117563020859,0.9411,0.6912,1.1912
Si31,Rb2_1_-1_-1_-1,15.6256506930448,0.75,0.7972,1.1242
Si32,Rb2_1_-1_-1_-1,15.6256506930448,0.75,0.7972,1.1242
Rb1,Rb2_2_-1_-1_-1,11.4092387077316,1,0.25,0.5
Rb2,Rb2_2_-1_-1_-1,15.3475415431919,1.25,0.75,0.5
Si1,Rb2_2_-1_-1_-1,16.1351001168261,1.25,0.25,1
Si21,Rb2_2_-1_-1_-1,14.4011757882643,1.1911,0.4412,0.6912
Si22,Rb2_2_-1_-1_-1,14.4011757882643,1.1911,0.4412,0.6912
Si31,Rb2_2_-1_-1_-1,12.9428140293917,1,0.5472,0.6242
Si32,Rb2_2_-1_-1_-1,12.9428140293917,1,0.5472,0.6242
Rb1,Rb2_3_-1_-1_-1,11.4092387077316,0.25,0.5,1
Rb2,Rb2_3_-1_-1_-1,14.9382,0.5,1,1
Si1,Rb2_3_-1_-1_-1,16.5148014810957,0.5,0.5,1.5
Si21,Rb2_3_-1_-1_-1,14.4016922873357,0.4411,0.6912,1.1912
Si22,Rb2_3_-1_-1_-1,14.4016922873357,0.4411,0.6912,1.1912
Si31,Rb2_3_-1_-1_-1,13.9489107410239,0.25,0.7972,1.1242
Si32,Rb2_3_-1_-1_-1,13.9489107410239,0.25,0.7972,1.1242
Rb1,Rb2_4_-1_-1_-1,13.4074448203228,1,0.75,0.5
Rb2,Rb2_4_-1_-1_-1,18.2954838378218,1.25,1.25,0.5
Si1,Rb2_4_-1_-1_-1,17.6048375312015,1.25,0.75,1
Si21,Rb2_4_-1_-1_-1,16.6116070431195,1.1911,0.9412,0.6912
Si22,Rb2_4_-1_-1_-1,16.6116070431195,1.1911,0.9412,0.6912
Si31,Rb2_4_-1_-1_-1,15.702894491099,1,1.0472,0.6242
Si32,Rb2_4_-1_-1_-1,15.702894491099,1,1.0472,0.6242
Rb1,Rb2_8_-1_-1_-1,13.4074448203228,0.5,1,0.75
Rb2,Rb2_8_-1_-1_-1,18.2954838378218,0.75,1.5,0.75
Si1,Rb2_8_-1_-1_-1,17.6048375312015,0.75,1,1.25
Si21,Rb2_8_-1_-1_-1,16.6119055597111,0.6911,1.1912,0.9412
Si22,Rb2_8_-1_-1_-1,16.6119055597111,0.6911,1.1912,0.9412
Si31,Rb2_8_-1_-1_-1,16.354743539695,0.5,1.2972,0.8742
Si32,Rb2_8_-1_-1_-1,16.354743539695,0.5,1.2972,0.8742
Rb1,Rb2_10_-1_-1_-1,11.4092387077316,0.5,1,0.25
Rb2,Rb2_10_-1_-1_-1,16.885966958987,0.75,1.5,0.25
Si1,Rb2_10_-1_-1_-1,14.5173209325963,0.75,1,0.75
Si21,Rb2_10_-1_-1_-1,14.4015201230368,0.6911,1.1912,0.4412
Si22,Rb2_10_-1_-1_-1,14.4015201230368,0.6911,1.1912,0.4412
Si31,Rb2_10_-1_-1_-1,14.337744505575,0.5,1.2972,0.3742
Si32,Rb2_10_-1_-1_-1,14.337744505575,0.5,1.2972,0.3742
Rb1,Si1_1_-1_-1_-1,13.4074448203228,0.75,1,0.5
Rb2,Si1_1_-1_-1_-1,18.6312087917022,1,1.5,0.5
Si1,Si1_1_-1_-1_-1,17.2491475824169,1,1,1
Si21,Si1_1_-1_-1_-1,16.6117563020859,0.9411,1.1912,0.6912
Si22,Si1_1_-1_-1_-1,16.6117563020859,0.9411,1.1912,0.6912
Si31,Si1_1_-1_-1_-1,16.1653549678988,0.75,1.2972,0.6242
Si32,Si1_1_-1_-1_-1,16.1653549678988,0.75,1.2972,0.6242
Rb1,Si1_2_-1_-1_-1,11.4092387077316,0.5,0.25,1
Rb2,Si1_2_-1_-1_-1,14.5173209325963,0.75,0.75,1
Si1,Si1_2_-1_-1_-1,16.885966958987,0.75,0.25,1.5
Si21,Si1_2_-1_-1_-1,14.4015201230368,0.6911,0.4412,1.1912
Si22,Si1_2_-1_-1_-1,14.4015201230368,0.6911,0.4412,1.1912
Si31,Si1_2_-1_-1_-1,13.4102313560008,0.5,0.5472,1.1242
Si32,Si1_2_-1_-1_-1,13.4102313560008,0.5,0.5472,1.1242
Rb1,Si1_3_-1_-1_-1,11.4092387077316,0.25,1,0.5
Rb2,Si1_3_-1_-1_-1,16.5148014810957,0.5,1.5,0.5
Si1,Si1_3_-1_-1_-1,14.9382,0.5,1,1
Si21,Si1_3_-1_-1_-1,14.4016922873357,0.4411,1.1912,0.6912
Si22,Si1_3_-1_-1_-1,14.4016922873357,0.4411,1.1912,0.6912
Si31,Si1_3_-1_-1_-1,14.550939918719,0.25,1.2972,0.6242
Si32,Si1_3_-1_-1_-1,14.550939918719,0.25,1.2972,0.6242
Rb1,Si1_4_-1_-1_-1,13.4074448203228,0.5,0.75,1
Rb2,Si1_4_-1_-1_-1,17.6048375312015,0.75,1.25,1
Si1,Si1_4_-1_-1_-1,18.2954838378218,0.75,0.75,1.5
Si21,Si1_4_-1_-1_-1,16.6119055597111,0.6911,0.9412,1.1912
Si22,Si1_4_-1_-1_-1,16.6119055597111,0.6911,0.9412,1.1912
Si31,Si1_4_-1_-1_-1,16.0903314266871,0.5,1.0472,1.1242
Si32,Si1_4_-1_-1_-1,16.0903314266871,0.5,1.0472,1.1242
Rb1,Si1_8_-1_-1_-1,13.4074448203228,1,0.5,0.75
Rb2,Si1_8_-1_-1_-1,17.6048375312015,1.25,1,0.75
Si1,Si1_8_-1_-1_-1,18.2954838378218,1.25,0.5,1.25
Si21,Si1_8_-1_-1_-1,16.6116070431195,1.1911,0.6912,0.9412
Si22,Si1_8_-1_-1_-1,16.6116070431195,1.1911,0.6912,0.9412
Si31,Si1_8_-1_-1_-1,15.4273142370935,1,0.7972,0.8742
Si32,Si1_8_-1_-1_-1,15.4273142370935,1,0.7972,0.8742
Rb1,Si1_10_-1_-1_-1,11.4092387077316,1,0.5,0.25
Rb2,Si1_10_-1_-1_-1,16.1351001168261,1.25,1,0.25
Si1,Si1_10_-1_-1_-1,15.3475415431919,1.25,0.5,0.75
Si21,Si1_10_-1_-1_-1,14.4011757882643,1.1911,0.6912,0.4412
Si22,Si1_10_-1_-1_-1,14.4011757882643,1.1911,0.6912,0.4412
Si31,Si1_10_-1_-1_-1,13.270090648823,1,0.7972,0.3742
Si32,Si1_10_-1_-1_-1,13.270090648823,1,0.7972,0.3742
Rb1,Si21_1_-1_-1_-1,13.9516855599404,0.8089,0.8088,0.8088
Rb2,Si21_1_-1_-1_-1,18.6002661763892,1.0589,1.3088,0.8088
Si1,Si21_1_-1_-1_-1,18.6002661763892,1.0589,0.8088,1.3088
Si21,Si21_1_-1_-1_-1,17.2491475824169,1,1,1
Si22,Si21_1_-1_-1_-1,17.2491475824169,1,1,1
Si31,Si21_1_-1_-1_-1,16.5089278031956,0.8089,1.106,0.933
Si32,Si21_1_-1_-1_-1,16.5089278031956,0.8089,1.106,0.933
Rb1,Si21_2_-1_-1_-1,8.14270665726979,0.6912,0.3089,0.3088
Rb2,Si21_2_-1_-1_-1,12.7361102826108,0.9412,0.8089,0.3088
Si1,Si21_2_-1_-1_-1,12.7357209203516,0.9412,0.3089,0.8088
Si21,Si21_2_-1_-1_-1,11.260726990222,0.8823,0.5001,0.5
Si22,Si21_2_-1_-1_-1,11.260726990222,0.8823,0.5001,0.5
Si31,Si21_2_-1_-1_-1,10.1198444837428,0.6912,0.6061,0.433
Si32,Si21_2_-1_-1_-1,10.1198444837428,0.6912,0.6061,0.433
Rb1,Si21_3_-1_-1_-1,8.49266757538959,0.1911,0.1912,0.8088
Rb2,Si21_3_-1_-1_-1,11.4698577906177,0.4411,0.6912,0.8088
Si1,Si21_3_-1_-1_-1,13.8855962664892,0.4411,0.1912,1.3088
Si21,Si21_3_-1_-1_-1,11.3211303752989,0.3822,0.3824,1
Si22,Si21_3_-1_-1_-1,11.3211303752989,0.3822,0.3824,1
Si31,Si21_3_-1_-1_-1,10.658906803591,0.1911,0.4884,0.933
Si32,Si21_3_-1_-1_-1,10.658906803591,0.1911,0.4884,0.933
Rb1,Si21_4_-1_-1_-1,8.14148857192945,0.3088,0.6911,0.3088
Rb2,Si21_4_-1_-1_-1,13.4585143980447,0.5588,1.1911,0.3088
Si1,Si21_4_-1_-1_-1,11.9672877491546,0.5588,0.6911,0.8088
Si21,Si21_4_-1_-1_-1,11.259846216038,0.4999,0.8823,0.5
Si22,Si21_4_-1_-1_-1,11.259846216038,0.4999,0.8823,0.5
Si31,Si21_4_-1_-1_-1,11.176876773196,0.3088,0.9883,0.433
Si32,Si21_4_-1_-1_-1,11.176876773196,0.3088,0.9883,0.433
Rb1,Si21_5_-1_-1_-1,8.14270665726979,0.3089,0.6912,0.3088
