Atom1,Atom2,Distance,DeltaX,DeltaY,DeltaZ
Ca1,Ca1_1_-1_-1_-1,12.2047228104533,1,1,1
Ca2,Ca1_1_-1_-1_-1,15.45797726483,1.25,1.5,1
C1,Ca1_1_-1_-1_-1,15.45797726483,1.5,1.25,1
C2,Ca1_1_-1_-1_-1,14.4882264482892,1.1871,1.1871,1.1871
B3,Ca1_1_-1_-1_-1,14.0374194528003,1.3043,1.1258,1
C3,Ca1_1_-1_-1_-1,14.0374194528003,1.3043,1.1258,1
Ca1,Ca1_13_-1_-1_-1,6.10236140522667,0.5,0.5,0.5
Ca2,Ca1_13_-1_-1_-1,9.48650632424814,0.75,1,0.5
C1,Ca1_13_-1_-1_-1,9.48650632424814,1,0.75,0.5
C2,Ca1_13_-1_-1_-1,8.38586504306249,0.6871,0.6871,0.6871
B3,Ca1_13_-1_-1_-1,7.99859248779177,0.8043,0.6258,0.5
C3,Ca1_13_-1_-1_-1,7.99859248779177,0.8043,0.6258,0.5
Ca1,Ca2_1_-1_-1_-1,9.48650632424814,0.75,0.5,1
Ca2,Ca2_1_-1_-1_-1,12.2047228104533,1,1,1
C1,Ca2_1_-1_-1_-1,12.4563930573822,1.25,0.75,1
C2,Ca2_1_-1_-1_-1,11.70523321035,0.9371,0.6871,1.1871
B3,Ca2_1_-1_-1_-1,11.148407218909,1.0543,0.6258,1
C3,Ca2_1_-1_-1_-1,11.148407218909,1.0543,0.6258,1
Ca1,Ca2_2_-1_-1_-1,8.07266534423421,0.25,0.5,1
Ca2,Ca2_2_-1_-1_-1,10.5696,0.5,1,1
C1,Ca2_2_-1_-1_-1,10.2718048579595,0.75,0.75,1
C2,Ca2_2_-1_-1_-1,10.1438042691027,0.4371,0.6871,1.1871
B3,Ca2_2_-1_-1_-1,9.18433876840869,0.5543,0.6258,1
C3,Ca2_2_-1_-1_-1,9.18433876840869,0.5543,0.6258,1
Ca1,Ca2_5_-1_-1_-1,9.48650632424814,1,0.75,0.5
Ca2,Ca2_5_-1_-1_-1,12.9450633926605,1.25,1.25,0.5
C1,Ca2_5_-1_-1_-1,13.182607305082,1.5,1,0.5
C2,Ca2_5_-1_-1_-1,11.70523321035,1.1871,0.9371,0.6871
B3,Ca2_5_-1_-1_-1,11.6174262637071,1.3043,0.8758,0.5
C3,Ca2_5_-1_-1_-1,11.6174262637071,1.3043,0.8758,0.5
Ca1,Ca2_6_-1_-1_-1,8.07266534423421,1,0.25,0.5
Ca2,Ca2_6_-1_-1_-1,10.8592317076302,1.25,0.75,0.5
C1,Ca2_6_-1_-1_-1,11.6851324613801,1.5,0.5,0.5
C2,Ca2_6_-1_-1_-1,10.1438042691027,1.1871,0.4371,0.6871
