Atom1,Atom2,Distance,DeltaX,DeltaY,DeltaZ
K1,K1_1_-1_-1_-1,8.90100910009646,0.5,0.5,0.5
K2,K1_1_-1_-1_-1,13.8371809719321,0.75,1,0.5
Si1,K1_1_-1_-1_-1,13.8371809719321,0.75,0.5,1
Si2,K1_1_-1_-1_-1,12.180140852572,0.6842,0.6842,0.6842
Si3,K1_1_-1_-1_-1,11.6360451816583,0.5,0.8061,0.618
K1,K1_25_-1_-1_-1,17.8020182001929,1,1,1
K2,K1_25_-1_-1_-1,22.5472709934041,1.25,1.5,1
Si1,K1_25_-1_-1_-1,22.5472709934041,1.25,1,1.5
Si2,K1_25_-1_-1_-1,21.0811499526685,1.1842,1.1842,1.1842
Si3,K1_25_-1_-1_-1,20.4421674147825,1,1.3061,1.118
K1,K2_1_-1_-1_-1,11.774928248189,0.5,1,0.25
K2,K2_1_-1_-1_-1,17.4271968916404,0.75,1.5,0.25
Si1,K2_1_-1_-1_-1,14.982630893805,0.75,1,0.75
Si2,K2_1_-1_-1_-1,14.7480845296904,0.6842,1.1842,0.4342
Si3,K2_1_-1_-1_-1,14.8634280230367,0.5,1.3061,0.368
K1,K2_2_-1_-1_-1,13.8371809719321,1,0.75,0.5
K2,K2_2_-1_-1_-1,18.8818916822441,1.25,1.25,0.5
Si1,K2_2_-1_-1_-1,18.1691087425883,1.25,0.75,1
Si2,K2_2_-1_-1_-1,17.0230146274887,1.1842,0.9342,0.6842
Si3,K2_2_-1_-1_-1,16.2420733909127,1,1.0561,0.618
K1,K2_3_-1_-1_-1,11.774928248189,0.25,0.5,1
K2,K2_3_-1_-1_-1,15.417,0.5,1,1
Si1,K2_3_-1_-1_-1,17.0441347976364,0.5,0.5,1.5
Si2,K2_3_-1_-1_-1,14.7480845296904,0.4342,0.6842,1.1842
Si3,K2_3_-1_-1_-1,14.3973511185771,0.25,0.8061,1.118
K1,K2_4_-1_-1_-1,13.8371809719321,0.5,1,0.75
K2,K2_4_-1_-1_-1,18.8818916822441,0.75,1.5,0.75
Si1,K2_4_-1_-1_-1,18.1691087425883,0.75,1,1.25
Si2,K2_4_-1_-1_-1,17.0230146274887,0.6842,1.1842,0.9342
Si3,K2_4_-1_-1_-1,16.9176042662073,0.5,1.3061,0.868
K1,K2_5_-1_-1_-1,11.774928248189,1,0.25,0.5
K2,K2_5_-1_-1_-1,15.8394617806288,1.25,0.75,0.5
Si1,K2_5_-1_-1_-1,16.652263224559,1.25,0.25,1
Si2,K2_5_-1_-1_-1,14.7480845296904,1.1842,0.4342,0.6842
Si3,K2_5_-1_-1_-1,13.3660290813463,1,0.5561,0.618
K1,K2_6_-1_-1_-1,13.8371809719321,0.75,0.5,1
K2,K2_6_-1_-1_-1,17.8020182001929,1,1,1
Si1,K2_6_-1_-1_-1,19.2283773106313,1,0.5,1.5
Si2,K2_6_-1_-1_-1,17.0230146274887,0.9342,0.6842,1.1842
Si3,K2_6_-1_-1_-1,16.1276892712996,0.75,0.8061,1.118
K1,Si1_1_-1_-1_-1,11.774928248189,1,0.5,0.25
K2,Si1_1_-1_-1_-1,16.652263224559,1.25,1,0.25
Si1,Si1_1_-1_-1_-1,15.8394617806288,1.25,0.5,0.75
Si2,Si1_1_-1_-1_-1,14.7480845296904,1.1842,0.6842,0.4342
Si3,Si1_1_-1_-1_-1,13.7326588817896,1,0.8061,0.368
K1,Si1_2_-1_-1_-1,13.8371809719321,0.5,0.75,1
K2,Si1_2_-1_-1_-1,18.1691087425883,0.75,1.25,1
Si1,Si1_2_-1_-1_-1,18.8818916822441,0.75,0.75,1.5
Si2,Si1_2_-1_-1_-1,17.0230146274887,0.6842,0.9342,1.1842
Si3,Si1_2_-1_-1_-1,16.6213762230386,0.5,1.0561,1.118
K1,Si1_3_-1_-1_-1,11.774928248189,0.25,1,0.5
K2,Si1_3_-1_-1_-1,17.0441347976364,0.5,1.5,0.5
Si1,Si1_3_-1_-1_-1,15.417,0.5,1,1
Si2,Si1_3_-1_-1_-1,14.7480845296904,0.4342,1.1842,0.6842
Si3,Si1_3_-1_-1_-1,15.0716320400942,0.25,1.3061,0.618
K1,Si1_4_-1_-1_-1,13.8371809719321,1,0.5,0.75
K2,Si1_4_-1_-1_-1,18.1691087425883,1.25,1,0.75
Si1,Si1_4_-1_-1_-1,18.8818916822441,1.25,0.5,1.25
Si2,Si1_4_-1_-1_-1,17.0230146274887,1.1842,0.6842,0.9342
Si3,Si1_4_-1_-1_-1,15.933290980698,1,0.8061,0.868
K1,Si1_5_-1_-1_-1,11.774928248189,0.5,0.25,1
K2,Si1_5_-1_-1_-1,14.982630893805,0.75,0.75,1
Si1,Si1_5_-1_-1_-1,17.4271968916404,0.75,0.25,1.5
Si2,Si1_5_-1_-1_-1,14.7480845296904,0.6842,0.4342,1.1842
Si3,Si1_5_-1_-1_-1,13.8244686304897,0.5,0.5561,1.118
K1,Si1_6_-1_-1_-1,13.8371809719321,0.75,1,0.5
K2,Si1_6_-1_-1_-1,19.2283773106313,1,1.5,0.5
Si1,Si1_6_-1_-1_-1,17.8020182001929,1,1,1
Si2,Si1_6_-1_-1_-1,17.0230146274887,0.9342,1.1842,0.6842
Si3,Si1_6_-1_-1_-1,16.7323857937831,0.75,1.3061,0.618
K1,Si2_1_-1_-1_-1,8.39775448184176,0.3158,0.6842,0.3158
K2,Si2_1_-1_-1_-1,13.8741157715976,0.5658,1.1842,0.3158
Si1,Si2_1_-1_-1_-1,12.3925103598138,0.5658,0.6842,0.8158
Si2,Si2_1_-1_-1_-1,11.5100685702732,0.5,0.8684,0.5
Si3,Si2_1_-1_-1_-1,11.5763599747262,0.3158,0.9903,0.4338
K1,Si2_4_-1_-1_-1,10.4613123346401,0.6842,0.3158,0.6842
K2,Si2_4_-1_-1_-1,14.5584846792684,0.9342,0.8158,0.6842
Si1,Si2_4_-1_-1_-1,15.8387578926535,0.9342,0.3158,1.1842
Si2,Si2_4_-1_-1_-1,13.6284773171761,0.8684,0.5,0.8684
Si3,Si2_4_-1_-1_-1,12.5812715881556,0.6842,0.6219,0.8022
K1,Si2_7_-1_-1_-1,8.39775448184176,0.3158,0.3158,0.6842
K2,Si2_7_-1_-1_-1,12.3925103598138,0.5658,0.8158,0.6842
Si1,Si2_7_-1_-1_-1,13.8741157715976,0.5658,0.3158,1.1842
Si2,Si2_7_-1_-1_-1,11.5100685702732,0.5,0.5,0.8684
Si3,Si2_7_-1_-1_-1,10.9257319823127,0.3158,0.6219,0.8022
K1,Si2_10_-1_-1_-1,10.4613123346401,0.6842,0.6842,0.3158
K2,Si2_10_-1_-1_-1,15.8387578926535,0.9342,1.1842,0.3158
Si1,Si2_10_-1_-1_-1,14.5584846792684,0.9342,0.6842,0.8158
Si2,Si2_10_-1_-1_-1,13.6284773171761,0.8684,0.8684,0.5
Si3,Si2_10_-1_-1_-1,13.1502427996612,0.6842,0.9903,0.4338
K1,Si2_13_-1_-1_-1,8.39775448184176,0.6842,0.3158,0.3158
K2,Si2_13_-1_-1_-1,13.1541894744942,0.9342,0.8158,0.3158
Si1,Si2_13_-1_-1_-1,13.1541894744942,0.9342,0.3158,0.8158
Si2,Si2_13_-1_-1_-1,11.5100685702732,0.8684,0.5,0.5
Si3,Si2_13_-1_-1_-1,10.4970119724086,0.6842,0.6219,0.4338
K1,Si2_16_-1_-1_-1,10.4613123346401,0.3158,0.6842,0.6842
K2,Si2_16_-1_-1_-1,15.2120959722615,0.5658,1.1842,0.6842
Si1,Si2_16_-1_-1_-1,15.2120959722615,0.5658,0.6842,1.1842
Si2,Si2_16_-1_-1_-1,13.6284773171761,0.5,0.8684,0.8684
Si3,Si2_16_-1_-1_-1,13.494934038019,0.3158,0.9903,0.8022
K1,Si2_19_-1_-1_-1,12.180140852572,0.6842,0.6842,0.6842
K2,Si2_19_-1_-1_-1,17.0230146274887,0.9342,1.1842,0.6842
Si1,Si2_19_-1_-1_-1,17.0230146274887,0.9342,0.6842,1.1842
Si2,Si2_19_-1_-1_-1,15.4592726050475,0.8684,0.8684,0.8684
Si3,Si2_19_-1_-1_-1,14.8670783988006,0.6842,0.9903,0.8022
K1,Si2_22_-1_-1_-1,5.62187734762093,0.3158,0.3158,0.3158
K2,Si2_22_-1_-1_-1,10.7078259974886,0.5658,0.8158,0.3158
Si1,Si2_22_-1_-1_-1,10.7078259974886,0.5658,0.3158,0.8158
Si2,Si2_22_-1_-1_-1,8.90100910009646,0.5,0.5,0.5
Si3,Si2_22_-1_-1_-1,8.44218484299473,0.3158,0.6219,0.4338
K1,Si2_25_-1_-1_-1,12.0080690453917,0.8158,0.8158,0.1842
K2,Si2_25_-1_-1_-1,17.5063907725063,1.0658,1.3158,0.1842
Si1,Si2_25_-1_-1_-1,15.4839662007282,1.0658,0.8158,0.6842
Si2,Si2_25_-1_-1_-1,15.0203697713069,1,1,0.3684
Si3,Si2_25_-1_-1_-1,14.5915535270009,0.8158,1.1219,0.3022
K1,Si2_28_-1_-1_-1,8.80188693545272,0.1842,0.1842,0.8158
K2,Si2_28_-1_-1_-1,11.8183097964004,0.4342,0.6842,0.8158
Si1,Si2_28_-1_-1_-1,14.366382809117,0.4342,0.1842,1.3158
Si2,Si2_28_-1_-1_-1,11.5892693528791,0.3684,0.3684,1
Si3,Si2_28_-1_-1_-1,11.0042114861194,0.1842,0.4903,0.9338
K1,Si2_31_-1_-1_-1,12.0080690453917,0.8158,0.1842,0.8158
K2,Si2_31_-1_-1_-1,15.4839662007282,1.0658,0.6842,0.8158
Si1,Si2_31_-1_-1_-1,17.5063907725063,1.0658,0.1842,1.3158
Si2,Si2_31_-1_-1_-1,15.0203697713069,1,0.3684,1
Si3,Si2_31_-1_-1_-1,13.7044948467881,0.8158,0.4903,0.9338
K1,Si2_34_-1_-1_-1,8.80188693545272,0.1842,0.8158,0.1842
K2,Si2_34_-1_-1_-1,14.366382809117,0.4342,1.3158,0.1842
Si1,Si2_34_-1_-1_-1,11.8183097964004,0.4342,0.8158,0.6842
Si2,Si2_34_-1_-1_-1,11.5892693528791,0.3684,1,0.3684
Si3,Si2_34_-1_-1_-1,12.0910266626508,0.1842,1.1219,0.3022
K1,Si2_37_-1_-1_-1,12.0080690453917,0.1842,0.8158,0.8158
K2,Si2_37_-1_-1_-1,16.5261448496766,0.4342,1.3158,0.8158
Si1,Si2_37_-1_-1_-1,16.5261448496766,0.4342,0.8158,1.3158
Si2,Si2_37_-1_-1_-1,15.0203697713069,0.3684,1,1
Si3,Si2_37_-1_-1_-1,15.1214904806004,0.1842,1.1219,0.9338
K1,Si2_40_-1_-1_-1,8.80188693545272,0.8158,0.1842,0.1842
K2,Si2_40_-1_-1_-1,13.1541894744942,1.0658,0.6842,0.1842
Si1,Si2_40_-1_-1_-1,13.1541894744942,1.0658,0.1842,0.6842
Si2,Si2_40_-1_-1_-1,11.5892693528791,1,0.3684,0.3684
Si3,Si2_40_-1_-1_-1,10.2638506617976,0.8158,0.4903,0.3022
K1,Si2_43_-1_-1_-1,3.27913175247554,0.1842,0.1842,0.1842
K2,Si2_43_-1_-1_-1,8.54119065876025,0.4342,0.6842,0.1842
Si1,Si2_43_-1_-1_-1,8.54119065876025,0.4342,0.1842,0.6842
Si2,Si2_43_-1_-1_-1,6.55826350495107,0.3684,0.3684,0.3684
Si3,Si2_43_-1_-1_-1,6.2149917001782,0.1842,0.4903,0.3022
K1,Si2_46_-1_-1_-1,14.5228864477174,0.8158,0.8158,0.8158
K2,Si2_46_-1_-1_-1,19.3182355937102,1.0658,1.3158,0.8158
Si1,Si2_46_-1_-1_-1,19.3182355937102,1.0658,0.8158,1.3158
Si2,Si2_46_-1_-1_-1,17.8020182001929,1,1,1
Si3,Si2_46_-1_-1_-1,17.1866222082552,0.8158,1.1219,0.9338
K1,Si3_1_-1_-1_-1,10.5103353155641,0.382,0.8061,0.5
K2,Si3_1_-1_-1_-1,15.7737039268522,0.632,1.3061,0.5
Si1,Si3_1_-1_-1_-1,14.7130609643131,0.632,0.8061,1
Si2,Si3_1_-1_-1_-1,13.671695655318,0.5662,0.9903,0.6842
Si3,Si3_1_-1_-1_-1,13.6540312904557,0.382,1.1122,0.618
K1,Si3_2_-1_-1_-1,6.76727442777324,0.1939,0.5,0.382
K2,Si3_2_-1_-1_-1,11.9108283135386,0.4439,1,0.382
Si1,Si3_2_-1_-1_-1,11.3755277505087,0.4439,0.5,0.882
Si2,Si3_2_-1_-1_-1,9.92064851263716,0.3781,0.6842,0.5662
