Label,x_a,y_b,z_c
Rb1_1_-1_-1_-1,-1,-1,-1
Rb1_2_-1_-1_-1,-0.5,-0.5,-0.5
Rb2_1_-1_-1_-1,-0.75,-0.5,-1
Rb2_2_-1_-1_-1,-1,-0.25,-0.5
Rb2_3_-1_-1_-1,-0.25,-0.5,-1
Rb2_4_-1_-1_-1,-1,-0.75,-0.5
Rb2_8_-1_-1_-1,-0.5,-1,-0.75
Rb2_10_-1_-1_-1,-0.5,-1,-0.25
Si1_1_-1_-1_-1,-0.75,-1,-0.5
Si1_2_-1_-1_-1,-0.5,-0.25,-1
Si1_3_-1_-1_-1,-0.25,-1,-0.5
Si1_4_-1_-1_-1,-0.5,-0.75,-1
Si1_8_-1_-1_-1,-1,-0.5,-0.75
Si1_10_-1_-1_-1,-1,-0.5,-0.25
Si21_1_-1_-1_-1,-0.8089,-0.8088,-0.8088
Si21_2_-1_-1_-1,-0.6912,-0.3089,-0.3088
Si21_3_-1_-1_-1,-0.1911,-0.1912,-0.8088
Si21_4_-1_-1_-1,-0.3088,-0.6911,-0.3088
Si21_5_-1_-1_-1,-0.3089,-0.6912,-0.3088
Si21_6_-1_-1_-1,-0.8089,-0.1912,-0.1912
Si21_7_-1_-1_-1,-0.3089,-0.3088,-0.6912
Si21_8_-1_-1_-1,-0.3088,-0.3088,-0.6911
Si21_9_-1_-1_-1,-0.1911,-0.8088,-0.1912
Si21_10_-1_-1_-1,-0.6912,-0.3088,-0.3089
Si21_11_-1_-1_-1,-0.8088,-0.8089,-0.8088
Si21_12_-1_-1_-1,-0.8088,-0.8088,-0.8089
Si21_13_-1_-1_-1,-0.1912,-0.1912,-0.8089
Si21_14_-1_-1_-1,-0.8088,-0.1911,-0.1912
Si21_15_-1_-1_-1,-0.1912,-0.8088,-0.1911
Si21_16_-1_-1_-1,-0.1912,-0.1911,-0.8088
Si21_17_-1_-1_-1,-0.1912,-0.8089,-0.1912
Si21_18_-1_-1_-1,-0.8088,-0.1912,-0.1911
Si21_19_-1_-1_-1,-0.3088,-0.3089,-0.6912
Si21_20_-1_-1_-1,-0.6912,-0.6911,-0.6912
Si21_21_-1_-1_-1,-0.6911,-0.3088,-0.3088
Si21_22_-1_-1_-1,-0.6911,-0.6912,-0.6912
Si21_23_-1_-1_-1,-0.3088,-0.6912,-0.3089
Si21_24_-1_-1_-1,-0.6912,-0.6912,-0.6911
Si21_25_-1_-1_-1,-0.1911,-0.1912,-0.1912
Si21_26_-1_-1_-1,-0.3088,-0.6911,-0.6912
Si21_27_-1_-1_-1,-0.8089,-0.8088,-0.1912
Si21_28_-1_-1_-1,-0.6912,-0.3089,-0.6912
Si21_29_-1_-1_-1,-0.6911,-0.3088,-0.6912
Si21_30_-1_-1_-1,-0.1911,-0.8088,-0.8088
Si21_31_-1_-1_-1,-0.6911,-0.6912,-0.3088
Si21_32_-1_-1_-1,-0.6912,-0.6912,-0.3089
Si21_33_-1_-1_-1,-0.8089,-0.1912,-0.8088
Si21_34_-1_-1_-1,-0.3088,-0.6912,-0.6911
Si21_35_-1_-1_-1,-0.1912,-0.1911,-0.1912
Si21_36_-1_-1_-1,-0.1912,-0.1912,-0.1911
Si21_37_-1_-1_-1,-0.8088,-0.8088,-0.1911
Si21_38_-1_-1_-1,-0.1912,-0.8089,-0.8088
Si21_39_-1_-1_-1,-0.8088,-0.1912,-0.8089
Si21_40_-1_-1_-1,-0.8088,-0.8089,-0.1912
Si21_41_-1_-1_-1,-0.8088,-0.1911,-0.8088
Si21_42_-1_-1_-1,-0.1912,-0.8088,-0.8089
Si21_43_-1_-1_-1,-0.6912,-0.6911,-0.3088
Si21_44_-1_-1_-1,-0.3088,-0.3089,-0.3088
Si21_45_-1_-1_-1,-0.3089,-0.6912,-0.6912
Si21_46_-1_-1_-1,-0.3089,-0.3088,-0.3088
Si21_47_-1_-1_-1,-0.6912,-0.3088,-0.6911
Si21_48_-1_-1_-1,-0.3088,-0.3088,-0.3089
Si31_1_-1_-1_-1,-1,-0.7028,-0.8758
Si31_2_-1_-1_-1,-0.7972,-0.5,-0.3758
Si31_3_-1_-1_-1,-1,-0.2972,-0.8758
Si31_4_-1_-1_-1,-0.2028,-0.5,-0.3758
Si31_5_-1_-1_-1,-0.5,-0.6242,-0.2028
Si31_6_-1_-1_-1,-1,-0.2972,-0.1242
Si31_7_-1_-1_-1,-0.5,-0.3758,-0.7972
Si31_8_-1_-1_-1,-0.3758,-0.2028,-0.5
Si31_9_-1_-1_-1,-1,-0.7028,-0.1242
Si31_10_-1_-1_-1,-0.6242,-0.2028,-0.5
Si31_11_-1_-1_-1,-0.8758,-1,-0.7028
Si31_12_-1_-1_-1,-0.7028,-0.8758,-1
Si31_13_-1_-1_-1,-0.2972,-0.1242,-1
Si31_14_-1_-1_-1,-0.8758,-1,-0.2972
Si31_15_-1_-1_-1,-0.2972,-0.8758,-1
Si31_16_-1_-1_-1,-0.1242,-1,-0.7028
Si31_17_-1_-1_-1,-0.1242,-1,-0.2972
Si31_18_-1_-1_-1,-0.7028,-0.1242,-1
Si31_19_-1_-1_-1,-0.2028,-0.5,-0.6242
Si31_20_-1_-1_-1,-0.7972,-0.5,-0.6242
Si31_21_-1_-1_-1,-0.5,-0.3758,-0.2028
Si31_22_-1_-1_-1,-0.5,-0.6242,-0.7972
Si31_23_-1_-1_-1,-0.3758,-0.7972,-0.5
Si31_24_-1_-1_-1,-0.6242,-0.7972,-0.5
Rb1_1_0_-1_-1,0,-1,-1
Rb1_2_0_-1_-1,0.5,-0.5,-0.5
Rb2_1_0_-1_-1,0.25,-0.5,-1
Rb2_2_0_-1_-1,0,-0.25,-0.5
Rb2_3_0_-1_-1,0.75,-0.5,-1
Rb2_4_0_-1_-1,0,-0.75,-0.5
Rb2_8_0_-1_-1,0.5,-1,-0.75
Rb2_10_0_-1_-1,0.5,-1,-0.25
Si1_1_0_-1_-1,0.25,-1,-0.5
Si1_2_0_-1_-1,0.5,-0.25,-1
Si1_3_0_-1_-1,0.75,-1,-0.5
Si1_4_0_-1_-1,0.5,-0.75,-1
Si1_8_0_-1_-1,0,-0.5,-0.75
Si1_10_0_-1_-1,0,-0.5,-0.25
Si21_1_0_-1_-1,0.1911,-0.8088,-0.8088
Si21_2_0_-1_-1,0.3088,-0.3089,-0.3088
Si21_3_0_-1_-1,0.8089,-0.1912,-0.8088
Si21_4_0_-1_-1,0.6912,-0.6911,-0.3088
Si21_5_0_-1_-1,0.6911,-0.6912,-0.3088
Si21_6_0_-1_-1,0.1911,-0.1912,-0.1912
Si21_7_0_-1_-1,0.6911,-0.3088,-0.6912
Si21_8_0_-1_-1,0.6912,-0.3088,-0.6911
Si21_9_0_-1_-1,0.8089,-0.8088,-0.1912
Si21_10_0_-1_-1,0.3088,-0.3088,-0.3089
Si21_11_0_-1_-1,0.1912,-0.8089,-0.8088
Si21_12_0_-1_-1,0.1912,-0.8088,-0.8089
Si21_13_0_-1_-1,0.8088,-0.1912,-0.8089
Si21_14_0_-1_-1,0.1912,-0.1911,-0.1912
Si21_15_0_-1_-1,0.8088,-0.8088,-0.1911
Si21_16_0_-1_-1,0.8088,-0.1911,-0.8088
Si21_17_0_-1_-1,0.8088,-0.8089,-0.1912
Si21_18_0_-1_-1,0.1912,-0.1912,-0.1911
Si21_19_0_-1_-1,0.6912,-0.3089,-0.6912
Si21_20_0_-1_-1,0.3088,-0.6911,-0.6912
Si21_21_0_-1_-1,0.3089,-0.3088,-0.3088
Si21_22_0_-1_-1,0.3089,-0.6912,-0.6912
Si21_23_0_-1_-1,0.6912,-0.6912,-0.3089
Si21_24_0_-1_-1,0.3088,-0.6912,-0.6911
Si21_25_0_-1_-1,0.8089,-0.1912,-0.1912
Si21_26_0_-1_-1,0.6912,-0.6911,-0.6912
Si21_27_0_-1_-1,0.1911,-0.8088,-0.1912
Si21_28_0_-1_-1,0.3088,-0.3089,-0.6912
Si21_29_0_-1_-1,0.3089,-0.3088,-0.6912
Si21_30_0_-1_-1,0.8089,-0.8088,-0.8088
Si21_31_0_-1_-1,0.3089,-0.6912,-0.3088
Si21_32_0_-1_-1,0.3088,-0.6912,-0.3089
Si21_33_0_-1_-1,0.1911,-0.1912,-0.8088
Si21_34_0_-1_-1,0.6912,-0.6912,-0.6911
Si21_35_0_-1_-1,0.8088,-0.1911,-0.1912
Si21_36_0_-1_-1,0.8088,-0.1912,-0.1911
Si21_37_0_-1_-1,0.1912,-0.8088,-0.1911
Si21_38_0_-1_-1,0.8088,-0.8089,-0.8088
Si21_39_0_-1_-1,0.1912,-0.1912,-0.8089
Si21_40_0_-1_-1,0.1912,-0.8089,-0.1912
Si21_41_0_-1_-1,0.1912,-0.1911,-0.8088
Si21_42_0_-1_-1,0.8088,-0.8088,-0.8089
Si21_43_0_-1_-1,0.3088,-0.6911,-0.3088
Si21_44_0_-1_-1,0.6912,-0.3089,-0.3088
Si21_45_0_-1_-1,0.6911,-0.6912,-0.6912
Si21_46_0_-1_-1,0.6911,-0.3088,-0.3088
Si21_47_0_-1_-1,0.3088,-0.3088,-0.6911
Si21_48_0_-1_-1,0.6912,-0.3088,-0.3089
Si31_1_0_-1_-1,0,-0.7028,-0.8758
Si31_2_0_-1_-1,0.2028,-0.5,-0.3758
Si31_3_0_-1_-1,0,-0.2972,-0.8758
Si31_4_0_-1_-1,0.7972,-0.5,-0.3758
Si31_5_0_-1_-1,0.5,-0.6242,-0.2028
Si31_6_0_-1_-1,0,-0.2972,-0.1242
Si31_7_0_-1_-1,0.5,-0.3758,-0.7972
Si31_8_0_-1_-1,0.6242,-0.2028,-0.5
Si31_9_0_-1_-1,0,-0.7028,-0.1242
Si31_10_0_-1_-1,0.3758,-0.2028,-0.5
Si31_11_0_-1_-1,0.1242,-1,-0.7028
Si31_12_0_-1_-1,0.2972,-0.8758,-1
Si31_13_0_-1_-1,0.7028,-0.1242,-1
Si31_14_0_-1_-1,0.1242,-1,-0.2972
Si31_15_0_-1_-1,0.7028,-0.8758,-1
Si31_16_0_-1_-1,0.8758,-1,-0.7028
Si31_17_0_-1_-1,0.8758,-1,-0.2972
Si31_18_0_-1_-1,0.2972,-0.1242,-1
Si31_19_0_-1_-1,0.7972,-0.5,-0.6242
Si31_20_0_-1_-1,0.2028,-0.5,-0.6242
Si31_21_0_-1_-1,0.5,-0.3758,-0.2028
Si31_22_0_-1_-1,0.5,-0.6242,-0.7972
Si31_23_0_-1_-1,0.6242,-0.7972,-0.5
Si31_24_0_-1_-1,0.3758,-0.7972,-0.5
Rb1_1_1_-1_-1,1,-1,-1
Rb1_2_1_-1_-1,1.5,-0.5,-0.5
Rb2_1_1_-1_-1,1.25,-0.5,-1
Rb2_2_1_-1_-1,1,-0.25,-0.5
Rb2_3_1_-1_-1,1.75,-0.5,-1
Rb2_4_1_-1_-1,1,-0.75,-0.5
Rb2_8_1_-1_-1,1.5,-1,-0.75
Rb2_10_1_-1_-1,1.5,-1,-0.25
Si1_1_1_-1_-1,1.25,-1,-0.5
Si1_2_1_-1_-1,1.5,-0.25,-1
Si1_3_1_-1_-1,1.75,-1,-0.5
Si1_4_1_-1_-1,1.5,-0.75,-1
Si1_8_1_-1_-1,1,-0.5,-0.75
Si1_10_1_-1_-1,1,-0.5,-0.25
Si21_1_1_-1_-1,1.1911,-0.8088,-0.8088
Si21_2_1_-1_-1,1.3088,-0.3089,-0.3088
Si21_3_1_-1_-1,1.8089,-0.1912,-0.8088
Si21_4_1_-1_-1,1.6912,-0.6911,-0.3088
Si21_5_1_-1_-1,1.6911,-0.6912,-0.3088
Si21_6_1_-1_-1,1.1911,-0.1912,-0.1912
Si21_7_1_-1_-1,1.6911,-0.3088,-0.6912
Si21_8_1_-1_-1,1.6912,-0.3088,-0.6911
Si21_9_1_-1_-1,1.8089,-0.8088,-0.1912
Si21_10_1_-1_-1,1.3088,-0.3088,-0.3089
Si21_11_1_-1_-1,1.1912,-0.8089,-0.8088
Si21_12_1_-1_-1,1.1912,-0.8088,-0.8089
Si21_13_1_-1_-1,1.8088,-0.1912,-0.8089
Si21_14_1_-1_-1,1.1912,-0.1911,-0.1912
