Label,x_a,y_b,z_c
Ca1_1_-1_-1_-1,-1,-1,-1
Ca1_13_-1_-1_-1,-0.5,-0.5,-0.5
Ca2_1_-1_-1_-1,-0.75,-0.5,-1
Ca2_2_-1_-1_-1,-0.25,-0.5,-1
Ca2_5_-1_-1_-1,-1,-0.75,-0.5
Ca2_6_-1_-1_-1,-1,-0.25,-0.5
Ca2_9_-1_-1_-1,-0.5,-1,-0.75
Ca2_10_-1_-1_-1,-0.5,-1,-0.25
C1_1_-1_-1_-1,-0.5,-0.75,-1
C1_2_-1_-1_-1,-0.5,-0.25,-1
C1_5_-1_-1_-1,-1,-0.5,-0.75
C1_6_-1_-1_-1,-1,-0.5,-0.25
C1_9_-1_-1_-1,-0.75,-1,-0.5
C1_10_-1_-1_-1,-0.25,-1,-0.5
C2_1_-1_-1_-1,-0.8129,-0.8129,-0.8129
C2_2_-1_-1_-1,-0.1871,-0.1871,-0.8129
C2_3_-1_-1_-1,-0.1871,-0.8129,-0.1871
C2_4_-1_-1_-1,-0.8129,-0.1871,-0.1871
C2_13_-1_-1_-1,-0.3129,-0.3129,-0.6871
C2_14_-1_-1_-1,-0.6871,-0.6871,-0.6871
C2_15_-1_-1_-1,-0.3129,-0.6871,-0.3129
C2_16_-1_-1_-1,-0.6871,-0.3129,-0.3129
C2_25_-1_-1_-1,-0.1871,-0.1871,-0.1871
C2_26_-1_-1_-1,-0.8129,-0.8129,-0.1871
C2_27_-1_-1_-1,-0.8129,-0.1871,-0.8129
C2_28_-1_-1_-1,-0.1871,-0.8129,-0.8129
C2_37_-1_-1_-1,-0.6871,-0.6871,-0.3129
C2_38_-1_-1_-1,-0.3129,-0.3129,-0.3129
C2_39_-1_-1_-1,-0.6871,-0.3129,-0.6871
C2_40_-1_-1_-1,-0.3129,-0.6871,-0.6871
B3_1_-1_-1_-1,-0.6957,-0.8742,-1
B3_2_-1_-1_-1,-0.3043,-0.1258,-1
B3_3_-1_-1_-1,-0.3043,-0.8742,-1
B3_4_-1_-1_-1,-0.6957,-0.1258,-1
B3_5_-1_-1_-1,-1,-0.6957,-0.8742
B3_6_-1_-1_-1,-1,-0.3043,-0.1258
B3_7_-1_-1_-1,-1,-0.3043,-0.8742
B3_8_-1_-1_-1,-1,-0.6957,-0.1258
B3_9_-1_-1_-1,-0.8742,-1,-0.6957
B3_10_-1_-1_-1,-0.1258,-1,-0.3043
B3_11_-1_-1_-1,-0.8742,-1,-0.3043
B3_12_-1_-1_-1,-0.1258,-1,-0.6957
B3_13_-1_-1_-1,-0.3742,-0.1957,-0.5
B3_14_-1_-1_-1,-0.6258,-0.8043,-0.5
B3_15_-1_-1_-1,-0.3742,-0.8043,-0.5
B3_16_-1_-1_-1,-0.6258,-0.1957,-0.5
B3_17_-1_-1_-1,-0.1957,-0.5,-0.6258
B3_18_-1_-1_-1,-0.8043,-0.5,-0.3742
B3_19_-1_-1_-1,-0.8043,-0.5,-0.6258
B3_20_-1_-1_-1,-0.1957,-0.5,-0.3742
B3_21_-1_-1_-1,-0.5,-0.3742,-0.8043
B3_22_-1_-1_-1,-0.5,-0.6258,-0.1957
B3_23_-1_-1_-1,-0.5,-0.3742,-0.1957
B3_24_-1_-1_-1,-0.5,-0.6258,-0.8043
Ca1_1_0_-1_-1,0,-1,-1
Ca1_13_0_-1_-1,0.5,-0.5,-0.5
Ca2_1_0_-1_-1,0.25,-0.5,-1
Ca2_2_0_-1_-1,0.75,-0.5,-1
Ca2_5_0_-1_-1,0,-0.75,-0.5
Ca2_6_0_-1_-1,0,-0.25,-0.5
Ca2_9_0_-1_-1,0.5,-1,-0.75
Ca2_10_0_-1_-1,0.5,-1,-0.25
C1_1_0_-1_-1,0.5,-0.75,-1
C1_2_0_-1_-1,0.5,-0.25,-1
C1_5_0_-1_-1,0,-0.5,-0.75
C1_6_0_-1_-1,0,-0.5,-0.25
C1_9_0_-1_-1,0.25,-1,-0.5
C1_10_0_-1_-1,0.75,-1,-0.5
C2_1_0_-1_-1,0.1871,-0.8129,-0.8129
C2_2_0_-1_-1,0.8129,-0.1871,-0.8129
C2_3_0_-1_-1,0.8129,-0.8129,-0.1871
C2_4_0_-1_-1,0.1871,-0.1871,-0.1871
C2_13_0_-1_-1,0.6871,-0.3129,-0.6871
C2_14_0_-1_-1,0.3129,-0.6871,-0.6871
C2_15_0_-1_-1,0.6871,-0.6871,-0.3129
C2_16_0_-1_-1,0.3129,-0.3129,-0.3129
C2_25_0_-1_-1,0.8129,-0.1871,-0.1871
C2_26_0_-1_-1,0.1871,-0.8129,-0.1871
C2_27_0_-1_-1,0.1871,-0.1871,-0.8129
C2_28_0_-1_-1,0.8129,-0.8129,-0.8129
C2_37_0_-1_-1,0.3129,-0.6871,-0.3129
C2_38_0_-1_-1,0.6871,-0.3129,-0.3129
