x,y,z
x,y,z
1/2-y,1/2+x,1/2+z
-x,-y,z
1/2+y,1/2-x,1/2+z
1/2+x,1/2-z,1/2+y
x,-y,-z
1/2+x,1/2+z,1/2-y
1/2+z,1/2+y,1/2-x
-x,y,-z
1/2-z,1/2+y,1/2+x
z,x,y
y,z,x
-y,-z,x
z,-x,-y
-y,z,-x
-z,-x,y
-z,x,-y
y,-z,-x
1/2+y,1/2+x,1/2-z
1/2-y,1/2-x,1/2-z
1/2-x,1/2+z,1/2+y
1/2-x,1/2-z,1/2-y
1/2+z,1/2-y,1/2+x
1/2-z,1/2-y,1/2-x
-x,-y,-z
1/2+y,1/2-x,1/2-z
x,y,-z
1/2-y,1/2+x,1/2-z
1/2-x,1/2+z,1/2-y
-x,y,z
1/2-x,1/2-z,1/2+y
1/2-z,1/2-y,1/2+x
x,-y,z
1/2+z,1/2-y,1/2-x
-z,-x,-y
-y,-z,-x
y,z,-x
-z,x,y
y,-z,x
z,x,-y
z,-x,y
-y,z,x
1/2-y,1/2-x,1/2+z
1/2+y,1/2+x,1/2+z
1/2+x,1/2-z,1/2-y
1/2+x,1/2+z,1/2+y
1/2-z,1/2+y,1/2-x
1/2+z,1/2+y,1/2+x
