x,y,z
z+1/2,-y+1/2,x+1/2
y+1/2,-x+1/2,z+1/2
x+1/2,-z+1/2,y+1/2
-z+1/2,y+1/2,-x+1/2
-y+1/2,x+1/2,-z+1/2
-x+1/2,z+1/2,-y+1/2
z+1/2,y+1/2,-x+1/2
y+1/2,x+1/2,-z+1/2
x+1/2,z+1/2,-y+1/2
-z+1/2,-y+1/2,x+1/2
-y+1/2,-x+1/2,z+1/2
-x+1/2,-z+1/2,y+1/2
-z+1/2,y+1/2,x+1/2
-y+1/2,x+1/2,z+1/2
-x+1/2,z+1/2,y+1/2
z+1/2,-y+1/2,-x+1/2
y+1/2,-x+1/2,-z+1/2
x+1/2,-z+1/2,-y+1/2
-z+1/2,-y+1/2,-x+1/2
-y+1/2,-x+1/2,-z+1/2
-x+1/2,-z+1/2,-y+1/2
z+1/2,y+1/2,x+1/2
y+1/2,x+1/2,z+1/2
x+1/2,z+1/2,y+1/2
z,x,-y
y,z,-x
x,y,-z
-z,-x,y
-y,-z,x
-x,-y,z
z,-x,y
y,-z,x
x,-y,z
-z,x,-y
-y,z,-x
-x,y,-z
-z,x,y
-y,z,x
-x,y,z
z,-x,-y
y,-z,-x
x,-y,-z
-z,-x,-y
-y,-z,-x
-x,-y,-z
z,x,y
y,z,x
x,y,z
