Label,x_a,y_b,z_c
Sr1_1,0,0,0
Sr1_2,0.5,0.5,0.5
Sr2_1,0.25,0.5,0
Sr2_2,0,0.75,0.5
Sr2_3,0.75,0.5,0
Sr2_4,0,0.25,0.5
Sr2_8,0.5,0,0.25
Sr2_10,0.5,0,0.75
Si1_1,0.25,0,0.5
Si1_2,0.5,0.75,0
Si1_3,0.75,0,0.5
Si1_4,0.5,0.25,0
Si1_8,0,0.5,0.25
Si1_10,0,0.5,0.75
Si2_1,0.1843,0.1844,0.1844
Si2_2,0.3156,0.6843,0.6844
Si2_3,0.8157,0.8156,0.1844
Si2_4,0.6844,0.3157,0.6844
Si2_5,0.6843,0.3156,0.6844
Si2_6,0.1843,0.8156,0.8156
Si2_7,0.6843,0.6844,0.3156
Si2_8,0.6844,0.6844,0.3157
Si2_9,0.8157,0.1844,0.8156
Si2_10,0.3156,0.6844,0.6843
Si2_11,0.1844,0.1843,0.1844
Si2_12,0.1844,0.1844,0.1843
Si2_13,0.8156,0.8156,0.1843
Si2_14,0.1844,0.8157,0.8156
Si2_15,0.8156,0.1844,0.8157
Si2_16,0.8156,0.8157,0.1844
Si2_17,0.8156,0.1843,0.8156
Si2_18,0.1844,0.8156,0.8157
Si2_19,0.6844,0.6843,0.3156
Si2_20,0.3156,0.3157,0.3156
Si2_21,0.3157,0.6844,0.6844
Si2_22,0.3157,0.3156,0.3156
Si2_23,0.6844,0.3156,0.6843
Si2_24,0.3156,0.3156,0.3157
Si2_25,0.8157,0.8156,0.8156
Si2_26,0.6844,0.3157,0.3156
Si2_27,0.1843,0.1844,0.8156
Si2_28,0.3156,0.6843,0.3156
Si2_29,0.3157,0.6844,0.3156
Si2_30,0.8157,0.1844,0.1844
Si2_31,0.3157,0.3156,0.6844
Si2_32,0.3156,0.3156,0.6843
Si2_33,0.1843,0.8156,0.1844
Si2_34,0.6844,0.3156,0.3157
Si2_35,0.8156,0.8157,0.8156
Si2_36,0.8156,0.8156,0.8157
Si2_37,0.1844,0.1844,0.8157
Si2_38,0.8156,0.1843,0.1844
Si2_39,0.1844,0.8156,0.1843
Si2_40,0.1844,0.1843,0.8156
Si2_41,0.1844,0.8157,0.1844
Si2_42,0.8156,0.1844,0.1843
Si2_43,0.3156,0.3157,0.6844
Si2_44,0.6844,0.6843,0.6844
Si2_45,0.6843,0.3156,0.3156
Si2_46,0.6843,0.6844,0.6844
Si2_47,0.3156,0.6844,0.3157
Si2_48,0.6844,0.6844,0.6843
Si3_1,0,0.3067,0.1191
Si3_2,0.1933,0.5,0.6191
Si3_3,0,0.6933,0.1191
Si3_4,0.8067,0.5,0.6191
Si3_5,0.5,0.3809,0.8067
Si3_6,0,0.6933,0.8809
Si3_7,0.5,0.6191,0.1933
Si3_8,0.6191,0.8067,0.5
Si3_9,0,0.3067,0.8809
Si3_10,0.3809,0.8067,0.5
Si3_11,0.1191,0,0.3067
Si3_12,0.3067,0.1191,0
Si3_13,0.6933,0.8809,0
Si3_14,0.1191,0,0.6933
Si3_15,0.6933,0.1191,0
Si3_16,0.8809,0,0.3067
Si3_17,0.8809,0,0.6933
Si3_18,0.3067,0.8809,0
Si3_19,0.8067,0.5,0.3809
Si3_20,0.1933,0.5,0.3809
Si3_21,0.5,0.6191,0.8067
Si3_22,0.5,0.3809,0.1933
Si3_23,0.6191,0.1933,0.5
Si3_24,0.3809,0.1933,0.5
