Label,x_a,y_b,z_c
Ca1_1,0,0,0
Ca1_13,0.5,0.5,0.5
Ca2_1,0.25,0.5,0
Ca2_2,0.75,0.5,0
Ca2_5,0,0.25,0.5
Ca2_6,0,0.75,0.5
Ca2_9,0.5,0,0.25
Ca2_10,0.5,0,0.75
C1_1,0.5,0.25,0
C1_2,0.5,0.75,0
C1_5,0,0.5,0.25
C1_6,0,0.5,0.75
C1_9,0.25,0,0.5
C1_10,0.75,0,0.5
C2_1,0.1871,0.1871,0.1871
C2_2,0.8129,0.8129,0.1871
C2_3,0.8129,0.1871,0.8129
C2_4,0.1871,0.8129,0.8129
C2_13,0.6871,0.6871,0.3129
C2_14,0.3129,0.3129,0.3129
C2_15,0.6871,0.3129,0.6871
C2_16,0.3129,0.6871,0.6871
C2_25,0.8129,0.8129,0.8129
C2_26,0.1871,0.1871,0.8129
C2_27,0.1871,0.8129,0.1871
C2_28,0.8129,0.1871,0.1871
C2_37,0.3129,0.3129,0.6871
C2_38,0.6871,0.6871,0.6871
C2_39,0.3129,0.6871,0.3129
C2_40,0.6871,0.3129,0.3129
B3_1,0.3043,0.1258,0
B3_2,0.6957,0.8742,0
B3_3,0.6957,0.1258,0
B3_4,0.3043,0.8742,0
B3_5,0,0.3043,0.1258
B3_6,0,0.6957,0.8742
B3_7,0,0.6957,0.1258
B3_8,0,0.3043,0.8742
B3_9,0.1258,0,0.3043
B3_10,0.8742,0,0.6957
B3_11,0.1258,0,0.6957
B3_12,0.8742,0,0.3043
B3_13,0.6258,0.8043,0.5
B3_14,0.3742,0.1957,0.5
B3_15,0.6258,0.1957,0.5
B3_16,0.3742,0.8043,0.5
B3_17,0.8043,0.5,0.3742
B3_18,0.1957,0.5,0.6258
B3_19,0.1957,0.5,0.3742
B3_20,0.8043,0.5,0.6258
B3_21,0.5,0.6258,0.1957
B3_22,0.5,0.3742,0.8043
B3_23,0.5,0.6258,0.8043
B3_24,0.5,0.3742,0.1957
