Element,Covalent Radius in Angstrom
H,0.3
He,0
Li,1.23
Be,0.89
B ,0.88
C,0.77
,0.67
,0.6
N ,0.7
O,0.66
F,0.58
Ne,0
Na,0
Mg,1.36
Al,1.25
Si,1.17
P,1.1
S,1.04
Cl,0.99
Ar,0
K,2.03
Ca,1.74
Sc,1.44
Ti,1.32
V,0
Cr,0
Mn,1.17
Fe,1.16
Co,1.16
Ni,1.15
Cu,1.17
Zn,1.25
Ga,1.25
Ge,1.22
As,1.21
Se,1.17
Br,1.14
Kr,0
Rb,0
Sr,1.92
Y,1.62
Zr,1.45
Nb,1.34
Mo,1.29
Tc,0
Ru,1.24
Rh,1.25
Pd,1.28
Ag,1.34
Cd,1.41
In,1.5
Sn,1.4
Sb,1.41
Te,1.37
I,1.33
Xe,0
Cs,2.35
Ba,1.98
La,1.69
Ce,1.65
Pr,1.65
Nd,1.64
Pm,0
Sm,1.66
Eu,1.85
Gd,1.61
Tb,1.59
Dy,1.59
Ho,1.58
Er,1.57
Tm,1.56
Yb,1.7
Lu,1.56
Hf,1.44
Ta,1.34
W,1.3
Re,1.28
Os,1.26
Ir,1.26
Pt,1.29
Au,1.34
Hg,1.44
Tl,1.55
Pb,1.54
Bi,1.52
